grupo_geografico,latitud,longitud,total_individuos,fecha,anio,mes,especie,reino,filo,clase,orden,familia,genero
184,-3.697409,-79.666143,1,2022-11-13,2022,11,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
185,-3.699738,-79.64986,5,1989-08-01,1989,8,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
186,-3.700335,-79.716496,1,2021-09-04,2021,9,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
187,-3.705332,-79.614569,1,2024-03-11,2024,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
188,-3.709169,-80.06291,1,2003-03-27,2003,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
189,-3.716778,-80.05547,6,2008-01-11,2008,1,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
190,-3.7219175,-79.681961,2,2025-02-24,2025,2,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
191,-3.723134,-79.634696,1,2021-10-13,2021,10,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
192,-3.72627,-79.84844,18,2012-03-20,2012,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
193,-3.728814,-79.661219,1,1996-04-09,1996,4,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
194,-3.732647,-79.724144,1,2023-12-02,2023,12,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
195,-3.734,-79.93099,2,2003-04-12,2003,4,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
196,-3.734524,-79.699275,1,2023-06-24,2023,6,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
197,-3.7423840000000004,-79.7856035,2,2014-01-08,2014,1,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
198,-3.742574,-79.627089,1,2016-07-11,2016,7,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
199,-3.74314,-79.74981,1,2024-08-10,2024,8,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
200,-3.745483,-79.728786,1,2024-02-20,2024,2,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
201,-3.74675,-80.05011,3,2003-03-27,2003,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
202,-3.747434,-79.712742,1,2007-12-30,2007,12,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
203,-3.749524,-79.614894,1,2021-12-21,2021,12,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
204,-3.7645524999999997,-79.92586,9,2012-03-20,2012,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
205,-3.764616,-79.82266,5,1986-12-01,1986,12,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
206,-3.765067,-80.125146,1,2020-10-30,2020,10,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
207,-3.765193,-79.78132,1,2015-12-20,2015,12,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
208,-3.767031,-79.756311,1,2016-07-11,2016,7,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
209,-3.767565,-79.718844,1,2024-03-10,2024,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
210,-3.770078,-79.643295,1,2022-10-26,2022,10,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
